Elements, Bubble-sort, Count-sort, Insertion-sort, Merge-sort, Quick-sort, Selection-sort
50,33,3,20,11,2,6
60,48,3,29,14,3,8
70,65,3,39,18,3,12
80,87,4,51,20,4,15
90,108,4,64,23,5,19
100,134,4,79,25,6,23
110,161,5,96,28,6,28
120,192,5,114,30,7,33
130,226,5,135,36,7,39
140,260,6,154,39,8,45
150,299,6,177,42,9,52
160,338,7,200,44,10,58
170,386,7,228,47,11,66
180,431,7,255,50,12,74
190,479,8,284,53,12,82
200,532,8,314,57,13,91
210,587,8,347,59,14,100
220,659,9,381,61,14,110
230,704,9,423,65,14,119
240,759,9,449,66,15,131
250,824,10,486,70,16,139
260,888,10,526,79,16,150
270,958,10,567,82,17,161
280,1031,11,609,86,18,174
290,1105,11,657,88,19,187
300,1183,12,700,91,20,206
